route_id,stop_sequence,stop_id,stop_name,verification_status
M-MAIN,1,ST0001,Shahdara Metro Bus Station,VERIFIED
M-MAIN,2,ST0002,Niazi Chowk,VERIFIED
M-MAIN,3,ST0003,Timber Market,VERIFIED
M-MAIN,4,ST0004,Azadi Chowk,VERIFIED
M-MAIN,5,ST0005,Bhatti Chowk,VERIFIED
M-MAIN,6,ST0006,Katcheri,VERIFIED
M-MAIN,7,ST0007,Civil Secretariat,VERIFIED
M-MAIN,8,ST0008,MAO College,VERIFIED
M-MAIN,9,ST0009,Janaza Gah,VERIFIED
M-MAIN,10,ST0010,Qartaba Chowk,VERIFIED
M-MAIN,11,ST0011,Shama,VERIFIED
M-MAIN,12,ST0012,Ichhra,VERIFIED
M-MAIN,13,ST0013,Canal,VERIFIED
M-MAIN,14,ST0014,Gaddafi Stadium,VERIFIED
M-MAIN,15,ST0015,Kalma Chowk,VERIFIED
M-MAIN,16,ST0016,Model Town,VERIFIED
M-MAIN,17,ST0017,Naseerabad,VERIFIED
M-MAIN,18,ST0018,Ittefaq Hospital,VERIFIED
M-MAIN,19,ST0019,Qainchi,VERIFIED
M-MAIN,20,ST0020,Ghazi Chowk,VERIFIED
M-MAIN,21,ST0021,Chungi Amar Sidhu,VERIFIED
M-MAIN,22,ST0022,Kamahan,VERIFIED
M-MAIN,23,ST0023,Attari Saroba,VERIFIED
M-MAIN,24,ST0024,Nishtar Metro Station,VERIFIED
M-MAIN,25,ST0025,Youhannabad,VERIFIED
M-MAIN,26,ST0026,Dulu Khurd,VERIFIED
M-MAIN,27,ST0027,Gajju Matta,VERIFIED
S-1,1,ST0028,Railway Station,VERIFIED
S-1,2,ST0029,Ek Moriya,VERIFIED
S-1,3,ST0030,Nawaz Sharif Hospital,VERIFIED
S-1,4,ST0031,Kashmiri Gate,VERIFIED
S-1,5,ST0032,Lari Adda,VERIFIED
S-1,6,ST0004,Azadi Chowk,VERIFIED
S-1,7,ST0033,Texali Chowk,VERIFIED
S-1,8,ST0005,Bhatti Chowk,VERIFIED
S-2,1,ST0034,Samanabad Morr,VERIFIED
S-2,2,ST0035,Corporation Chowk,VERIFIED
S-2,3,ST0036,Taj Company,VERIFIED
S-2,4,ST0037,Sanda,VERIFIED
S-2,5,ST0038,Double Sarkan,VERIFIED
S-2,6,ST0039,Moon Market,VERIFIED
S-2,7,ST0040,Ganda Nala,VERIFIED
S-2,8,ST0005,Bhatti Chowk,VERIFIED
S-3,1,ST0028,Railway Station,VERIFIED
S-3,2,ST0029,Ek Moriya,VERIFIED
S-3,3,ST0030,Nawaz Sharif Hospital,VERIFIED
S-3,4,ST0031,Kashmiri Gate,VERIFIED
S-3,5,ST0032,Lari Adda,VERIFIED
S-3,6,ST0004,Azadi Chowk,VERIFIED
S-3,7,ST0003,Timber Market,VERIFIED
S-3,8,ST0002,Niazi Chowk,VERIFIED
S-3,9,ST0041,Shahdara Metro Station,VERIFIED
S-3,10,ST0042,Shahdara Lari Adda,VERIFIED
S-4,1,ST0043,R.A. Bazar,VERIFIED
S-4,2,ST0044,Nadeem Chowk,VERIFIED
S-4,3,ST0045,Defence Morr,VERIFIED
S-4,4,ST0046,Shareef Market,VERIFIED
S-4,5,ST0047,Walton,VERIFIED
S-4,6,ST0019,Qainchi,VERIFIED
S-4,7,ST0020,Ghazi Chowk,VERIFIED
S-4,8,ST0021,Chungi Amar Sidhu,VERIFIED
S-5,1,ST0048,Shadbagh Underpass,VERIFIED
S-5,2,ST0049,Rajput Park,VERIFIED
S-5,3,ST0050,Madina Chowk,VERIFIED
S-5,4,ST0051,Lohay Wali Pulley,VERIFIED
S-5,5,ST0052,Badami Bagh,VERIFIED
S-5,6,ST0053,Lari Adda Gol Chakar,VERIFIED
S-5,7,ST0004,Azadi Chowk,VERIFIED
S-5,8,ST0033,Texali Chowk,VERIFIED
S-5,9,ST0005,Bhatti Chowk,VERIFIED
S-6,1,ST0054,Babu Sabu,VERIFIED
S-6,2,ST0055,Niazi Adda,VERIFIED
S-6,3,ST0056,City Bus Stand,VERIFIED
S-6,4,ST0057,Chowk Yateem Khana,VERIFIED
S-6,5,ST0058,Bhala Stop,VERIFIED
S-6,6,ST0034,Samanabad Morr,VERIFIED
S-6,7,ST0059,Chauburji,VERIFIED
S-6,8,ST0060,Riwaz Garden,VERIFIED
S-6,9,ST0061,M.A.O College,VERIFIED
S-6,10,ST0062,Firdous Cinema,VERIFIED
S-6,11,ST0063,Raj Garh Chowk,VERIFIED
S-7,1,ST0064,Bagrian,VERIFIED
S-7,2,ST0065,Depot Chowk,VERIFIED
S-7,3,ST0066,Minhaj University,VERIFIED
S-7,4,ST0067,Hamdard Chowk,VERIFIED
S-7,5,ST0068,Rehmat Eye Hospital,VERIFIED
S-7,6,ST0069,Pindi Stop,VERIFIED
S-7,7,ST0070,Peco Morr,VERIFIED
S-7,8,ST0071,Kot Lakhpat Railway Station,VERIFIED
S-7,9,ST0072,Phatak Mandi,VERIFIED
S-7,10,ST0019,Qainchi,VERIFIED
S-7,11,ST0020,Ghazi Chowk,VERIFIED
S-7,12,ST0021,Chungi Amar Sidhu,VERIFIED
S-8,1,ST0073,Doctor Hospital,VERIFIED
S-8,2,ST0074,Wafaqi Colony,VERIFIED
S-8,3,ST0075,IBA Stop,VERIFIED
S-8,4,ST0076,Hailey College,VERIFIED
S-8,5,ST0077,Campus Pull,VERIFIED
S-8,6,ST0078,Barkat Market,VERIFIED
S-8,7,ST0015,Kalma Chowk,VERIFIED
S-8,8,ST0079,Qaddafi Stadium,VERIFIED
S-8,9,ST0013,Canal,VERIFIED
S-9,1,ST0028,Railway Station,VERIFIED
S-9,2,ST0080,Haji Camp,VERIFIED
S-9,3,ST0081,Shimla Pahari,VERIFIED
S-9,4,ST0082,Lahore Zoo,VERIFIED
S-9,5,ST0083,Chairing Cross,VERIFIED
S-9,6,ST0084,Ganga Ram Hospital,VERIFIED
S-9,7,ST0010,Qartaba Chowk,VERIFIED
S-9,8,ST0059,Chauburji,VERIFIED
S-9,9,ST0085,Sham Nagar,VERIFIED
S-10,1,ST0086,Multan Chungi,VERIFIED
S-10,2,ST0087,Mustafa Town,VERIFIED
S-10,3,ST0088,Karim Block Market,VERIFIED
S-10,4,ST0089,PU Examination Center,VERIFIED
S-10,5,ST0090,Bhekewal Morr,VERIFIED
S-10,6,ST0091,Wahdat Colony,VERIFIED
S-10,7,ST0092,Naqsha Stop,VERIFIED
S-10,8,ST0013,Canal,VERIFIED
S-10,9,ST0093,Ichra,VERIFIED
S-10,10,ST0011,Shama,VERIFIED
