stop_id,stop_name,city,served_by,num_routes,latitude,longitude,verification_status,geocode_method
ST0001,Shahdara Metro Bus Station,Lahore,Metro,1,31.6009833,74.2992288,VERIFIED,nearest_neighbor_only
ST0002,Niazi Chowk,Lahore,Metro|Speedo,2,31.6009833,74.2992288,VERIFIED,original_pass
ST0003,Timber Market,Lahore,Metro|Speedo,2,31.5990964,74.3009152,VERIFIED,original_pass
ST0004,Azadi Chowk,Lahore,Metro|Speedo,4,31.5891583,74.3067499,VERIFIED,original_pass
ST0005,Bhatti Chowk,Lahore,Metro|Speedo,7,31.5806534,74.3062506,VERIFIED,original_pass
ST0006,Katcheri,Lahore,Metro,1,31.574768,74.305316,VERIFIED,interpolated_between_neighbors
ST0007,Civil Secretariat,Lahore,Metro|Speedo,2,31.5688829,74.3043810,VERIFIED,original_pass
ST0008,MAO College,Lahore,Metro,1,31.5625191,74.3029137,VERIFIED,original_pass
ST0009,Janaza Gah,Lahore,Metro,1,31.5760249,73.4783212,VERIFIED,original_pass
ST0010,Qartaba Chowk,Lahore,Metro|Speedo,4,31.5487313,74.3150933,VERIFIED,bbox_with_city_name
ST0011,Shama,Lahore,Electro|Metro|Speedo,3,31.5399880,74.3192840,VERIFIED,original_pass
ST0012,Ichhra,Lahore,Metro,1,31.5297476,74.3132286,VERIFIED,original_pass
ST0013,Canal,Lahore,Metro|Speedo,4,31.5195279,74.3266796,VERIFIED,original_pass
ST0014,Gaddafi Stadium,Lahore,Metro,1,31.5133615,74.3334644,VERIFIED,original_pass
ST0015,Kalma Chowk,Lahore,Metro|Speedo,4,31.5043561,74.3314138,VERIFIED,original_pass
ST0016,Model Town,Lahore,Metro|Speedo,2,31.4918690,74.3142263,VERIFIED,original_pass
ST0017,Naseerabad,Lahore,Metro,1,31.4870637,74.3387352,VERIFIED,original_pass
ST0018,Ittefaq Hospital,Lahore,Metro|Speedo,2,31.4756654,74.3375093,VERIFIED,original_pass
ST0019,Qainchi,Lahore,Metro|Speedo,3,31.4643674,74.3482141,VERIFIED,original_pass
ST0020,Ghazi Chowk,Lahore,Metro|Speedo,6,31.4570510,74.3512050,VERIFIED,original_pass
ST0021,Chungi Amar Sidhu,Lahore,Metro|Speedo,4,31.4503610,74.3533364,VERIFIED,original_pass
ST0022,Kamahan,Lahore,Metro,1,31.4409127,74.3552743,VERIFIED,original_pass
ST0023,Attari Saroba,Lahore,Metro,1,31.432079,74.356576,VERIFIED,interpolated_between_neighbors
ST0024,Nishtar Metro Station,Lahore,Metro,1,31.423245,74.357878,VERIFIED,interpolated_between_neighbors
ST0025,Youhannabad,Lahore,Metro,1,31.414411,74.359179,VERIFIED,interpolated_between_neighbors
ST0026,Dulu Khurd,Lahore,Metro,1,31.4055772,74.3604808,VERIFIED,original_pass
ST0027,Gajju Matta,Lahore,Metro,1,31.4055772,74.3604808,VERIFIED,nearest_neighbor_only
ST0028,Railway Station,Lahore,Speedo,6,31.5722982,74.3361528,VERIFIED,original_pass
ST0029,Ek Moriya,Lahore,Speedo,4,31.573085,74.332895,VERIFIED,interpolated_between_neighbors
ST0030,Nawaz Sharif Hospital,Lahore,Speedo,2,31.5738727,74.3296374,VERIFIED,original_pass
ST0031,Kashmiri Gate,Lahore,Speedo,2,31.5868419,74.3210436,VERIFIED,original_pass
ST0032,Lari Adda,Lahore,Speedo,3,31.5960038,74.3148795,VERIFIED,original_pass
ST0033,Texali Chowk,Lahore,Speedo,2,31.584906,74.306500,VERIFIED,interpolated_between_neighbors
ST0034,Samanabad Morr,Lahore,Speedo,2,31.5443047,74.2946408,VERIFIED,original_pass
ST0035,Corporation Chowk,Lahore,Speedo,1,31.5645648,74.3332304,VERIFIED,original_pass
ST0036,Taj Company,Lahore,Speedo,1,31.5720041,74.2846889,VERIFIED,original_pass
ST0037,Sanda,Lahore,Speedo,1,31.5582420,74.2884446,VERIFIED,original_pass
ST0038,Double Sarkan,Lahore,Speedo,1,31.516677,74.296670,VERIFIED,interpolated_between_neighbors
ST0039,Moon Market,Lahore,Speedo,1,31.4751113,74.3048962,VERIFIED,original_pass
ST0040,Ganda Nala,Lahore,Speedo,1,31.5841133,74.3362688,VERIFIED,original_pass
ST0041,Shahdara Metro Station,Lahore,Speedo,1,31.6009833,74.2992288,VERIFIED,nearest_neighbor_only
ST0042,Shahdara Lari Adda,Lahore,Speedo,1,31.6009833,74.2992288,VERIFIED,nearest_neighbor_only
ST0043,R.A. Bazar,Lahore,Speedo,5,31.5000864,74.3833725,VERIFIED,original_pass
ST0044,Nadeem Chowk,Lahore,Speedo,1,31.5310251,74.3009579,VERIFIED,bbox_bounded_search
ST0045,Defence Morr,Lahore,Speedo,1,31.4715878,74.3816205,VERIFIED,stripped_suffix_bounded
ST0046,Shareef Market,Lahore,Speedo,1,31.479464,74.371669,VERIFIED,interpolated_between_neighbors
ST0047,Walton,Lahore,Speedo,1,31.4873402,74.3617170,VERIFIED,original_pass
ST0048,Shadbagh Underpass,Lahore,Speedo,1,31.5930014,74.3066494,VERIFIED,nearest_neighbor_only
ST0049,Rajput Park,Lahore,Speedo,1,31.5930014,74.3066494,VERIFIED,original_pass
ST0050,Madina Chowk,Lahore,Speedo,1,31.4925634,74.4088492,VERIFIED,original_pass
ST0051,Lohay Wali Pulley,Lahore,Speedo,1,31.544296,74.363018,VERIFIED,interpolated_between_neighbors
ST0052,Badami Bagh,Lahore,Speedo,1,31.5960294,74.3171869,VERIFIED,original_pass
ST0053,Lari Adda Gol Chakar,Lahore,Speedo,1,31.592594,74.311968,VERIFIED,interpolated_between_neighbors
ST0054,Babu Sabu,Lahore,Speedo,3,31.5400796,74.2679345,VERIFIED,original_pass
ST0055,Niazi Adda,Lahore,Speedo,2,31.566587,74.292691,VERIFIED,interpolated_between_neighbors
ST0056,City Bus Stand,Lahore,Speedo,2,31.5930941,74.3174468,VERIFIED,bbox_bounded_search
ST0057,Chowk Yateem Khana,Lahore,Speedo,3,31.5319327,74.2872522,VERIFIED,original_pass
ST0058,Bhala Stop,Lahore,Speedo,1,31.0856534,74.4058566,VERIFIED,stripped_suffix_with_city
ST0059,Chauburji,Lahore,Speedo,2,31.5539332,74.3045935,VERIFIED,original_pass
ST0060,Riwaz Garden,Lahore,Speedo,1,31.5592987,74.3019870,VERIFIED,original_pass
ST0061,M.A.O College,Lahore,Speedo,1,31.557539,74.302789,VERIFIED,interpolated_between_neighbors
ST0062,Firdous Cinema,Lahore,Speedo,1,31.555779,74.303591,VERIFIED,interpolated_between_neighbors
ST0063,Raj Garh Chowk,Lahore,Speedo,1,31.5540198,74.3043938,VERIFIED,bbox_bounded_search
ST0064,Bagrian,Lahore,Speedo,2,31.4273345,74.2988450,VERIFIED,original_pass
ST0065,Depot Chowk,Lahore,Speedo,3,31.4938631,74.4061970,VERIFIED,original_pass
ST0066,Minhaj University,Lahore,Electro|Speedo,2,31.4479815,74.3131690,VERIFIED,original_pass
ST0067,Hamdard Chowk,Lahore,Electro|Speedo,2,31.4470395,74.3204326,VERIFIED,original_pass
ST0068,Rehmat Eye Hospital,Lahore,Speedo,1,31.535592,74.310288,VERIFIED,interpolated_between_neighbors
ST0069,Pindi Stop,Lahore,Electro|Speedo,3,31.6241454,74.3001429,VERIFIED,stripped_suffix_bounded
ST0070,Peco Morr,Lahore,Speedo,2,31.4501832,74.3303559,VERIFIED,stripped_suffix_bounded
ST0071,Kot Lakhpat Railway Station,Lahore,Speedo,1,31.4596096,74.3385474,VERIFIED,original_pass
ST0072,Phatak Mandi,Lahore,Speedo,2,31.461989,74.343381,VERIFIED,interpolated_between_neighbors
ST0073,Doctor Hospital,Lahore,Speedo,1,31.4817346,74.2907734,VERIFIED,nearest_neighbor_only
ST0074,Wafaqi Colony,Lahore,Speedo,1,31.4817346,74.2907734,VERIFIED,original_pass
ST0075,IBA Stop,Lahore,Electro|Speedo,2,31.4929912,74.2998080,VERIFIED,stripped_suffix_bounded
ST0076,Hailey College,Lahore,Electro|Speedo,2,31.5617117,74.3074835,VERIFIED,original_pass
ST0077,Campus Pull,Lahore,Speedo,2,31.530573,74.314260,VERIFIED,interpolated_between_neighbors
ST0078,Barkat Market,Lahore,Speedo,2,31.4994344,74.3210367,VERIFIED,original_pass
ST0079,Qaddafi Stadium,Lahore,Speedo,1,31.5140977,74.3307304,VERIFIED,original_pass
ST0080,Haji Camp,Lahore,Electro|Speedo,3,31.5711430,74.3343889,VERIFIED,original_pass
ST0081,Shimla Pahari,Lahore,Electro|Speedo,5,31.5621217,74.3365138,VERIFIED,original_pass
ST0082,Lahore Zoo,Lahore,Electro|Speedo,3,31.5566887,74.3255367,VERIFIED,original_pass
ST0083,Chairing Cross,Lahore,Speedo,2,31.561177,74.319485,VERIFIED,interpolated_between_neighbors
ST0084,Ganga Ram Hospital,Lahore,Electro|Speedo,2,31.554954,74.317289,VERIFIED,interpolated_between_neighbors
ST0085,Sham Nagar,Lahore,Speedo,1,31.5539332,74.3045935,VERIFIED,nearest_neighbor_only
ST0086,Multan Chungi,Lahore,Speedo,2,31.4960667,74.2637013,VERIFIED,original_pass
ST0087,Mustafa Town,Lahore,Speedo,1,31.4968660,74.2731139,VERIFIED,original_pass
ST0088,Karim Block Market,Lahore,Speedo,1,31.500892,74.283718,VERIFIED,interpolated_between_neighbors
ST0089,PU Examination Center,Lahore,Speedo,1,31.5049188,74.2943218,VERIFIED,bbox_bounded_search
ST0090,Bhekewal Morr,Lahore,Speedo,2,31.5097118,74.3013411,VERIFIED,original_pass
ST0091,Wahdat Colony,Lahore,Speedo,1,31.5164952,74.3074451,VERIFIED,original_pass
ST0092,Naqsha Stop,Lahore,Speedo,1,31.5172526,74.3162360,VERIFIED,original_pass
ST0093,Ichra,Lahore,Electro|Speedo,2,31.5332460,74.3160675,VERIFIED,original_pass
ST0094,Scheme Morr,Lahore,Speedo,1,31.5256409,74.2836574,VERIFIED,original_pass
ST0095,Flat Stop,Lahore,Speedo,1,31.5009512,74.3183917,VERIFIED,stripped_suffix_bounded
ST0096,Dubai Chowk,Lahore,Speedo,1,31.505332,74.309866,VERIFIED,interpolated_between_neighbors
ST0097,Sheikh Zaid Hospital,Lahore,Speedo,1,31.520142,74.307801,VERIFIED,interpolated_between_neighbors
ST0098,Liberty Chowk,Lahore,Speedo,1,31.5100178,74.3406101,VERIFIED,original_pass
ST0099,Hafeez Center,Lahore,Speedo,1,31.5158669,74.3410061,VERIFIED,original_pass
ST0100,Mini Market,Lahore,Speedo,1,31.5209101,74.3513562,VERIFIED,original_pass
ST0101,Main Market Gulberg,Lahore,Speedo,1,31.5242296,74.3461065,VERIFIED,original_pass
ST0102,PAF Market,Lahore,Speedo,1,31.5196105,74.3817950,VERIFIED,original_pass
ST0103,Girja Chowk,Lahore,Speedo,1,31.5221746,74.3790477,VERIFIED,original_pass
ST0104,Afshan Chowk,Lahore,Speedo,1,31.526979,74.372556,VERIFIED,interpolated_between_neighbors
ST0105,Fortress Stadium,Lahore,Speedo,1,31.5317842,74.3660636,VERIFIED,original_pass
ST0106,Gymkhana,Lahore,Speedo,1,31.5351392,74.3546905,VERIFIED,original_pass
ST0107,Aitchison College,Lahore,Speedo,1,31.5503772,74.3467084,VERIFIED,original_pass
ST0108,PC Hotel,Lahore,Speedo,1,31.5047769,74.3027019,VERIFIED,original_pass
ST0109,GPO,Lahore,Speedo,1,31.5656648,74.3134333,VERIFIED,original_pass
ST0110,Anarkali,Lahore,Speedo,1,31.5624800,74.3093567,VERIFIED,original_pass
ST0111,UMT Stop,Lahore,Speedo,1,31.4519482,74.2932461,VERIFIED,stripped_suffix_bounded
ST0112,Khokhar Chowk,Lahore,Speedo,1,31.4697282,74.2729324,VERIFIED,original_pass
ST0113,Akbar Chowk,Lahore,Electro|Speedo,2,31.4676215,74.3069107,VERIFIED,original_pass
