stop_id,stop_name,city,served_by,num_routes,latitude,longitude,verification_status
ST0001,Shahdara Metro Bus Station,Lahore,Metro,1,,,VERIFIED
ST0002,Niazi Chowk,Lahore,Metro|Speedo,2,,,VERIFIED
ST0003,Timber Market,Lahore,Metro|Speedo,2,,,VERIFIED
ST0004,Azadi Chowk,Lahore,Metro|Speedo,4,,,VERIFIED
ST0005,Bhatti Chowk,Lahore,Metro|Speedo,7,,,VERIFIED
ST0006,Katcheri,Lahore,Metro,1,,,VERIFIED
ST0007,Civil Secretariat,Lahore,Metro|Speedo,2,,,VERIFIED
ST0008,MAO College,Lahore,Metro,1,,,VERIFIED
ST0009,Janaza Gah,Lahore,Metro,1,,,VERIFIED
ST0010,Qartaba Chowk,Lahore,Metro|Speedo,4,,,VERIFIED
ST0011,Shama,Lahore,Electro|Metro|Speedo,3,,,VERIFIED
ST0012,Ichhra,Lahore,Metro,1,,,VERIFIED
ST0013,Canal,Lahore,Metro|Speedo,4,,,VERIFIED
ST0014,Gaddafi Stadium,Lahore,Metro,1,,,VERIFIED
ST0015,Kalma Chowk,Lahore,Metro|Speedo,4,,,VERIFIED
ST0016,Model Town,Lahore,Metro|Speedo,2,,,VERIFIED
ST0017,Naseerabad,Lahore,Metro,1,,,VERIFIED
ST0018,Ittefaq Hospital,Lahore,Metro|Speedo,2,,,VERIFIED
ST0019,Qainchi,Lahore,Metro|Speedo,3,,,VERIFIED
ST0020,Ghazi Chowk,Lahore,Metro|Speedo,6,,,VERIFIED
ST0021,Chungi Amar Sidhu,Lahore,Metro|Speedo,4,,,VERIFIED
ST0022,Kamahan,Lahore,Metro,1,,,VERIFIED
ST0023,Attari Saroba,Lahore,Metro,1,,,VERIFIED
ST0024,Nishtar Metro Station,Lahore,Metro,1,,,VERIFIED
ST0025,Youhannabad,Lahore,Metro,1,,,VERIFIED
ST0026,Dulu Khurd,Lahore,Metro,1,,,VERIFIED
ST0027,Gajju Matta,Lahore,Metro,1,,,VERIFIED
ST0028,Railway Station,Lahore,Speedo,6,,,VERIFIED
ST0029,Ek Moriya,Lahore,Speedo,4,,,VERIFIED
ST0030,Nawaz Sharif Hospital,Lahore,Speedo,2,,,VERIFIED
ST0031,Kashmiri Gate,Lahore,Speedo,2,,,VERIFIED
ST0032,Lari Adda,Lahore,Speedo,3,,,VERIFIED
ST0033,Texali Chowk,Lahore,Speedo,2,,,VERIFIED
ST0034,Samanabad Morr,Lahore,Speedo,2,,,VERIFIED
ST0035,Corporation Chowk,Lahore,Speedo,1,,,VERIFIED
ST0036,Taj Company,Lahore,Speedo,1,,,VERIFIED
ST0037,Sanda,Lahore,Speedo,1,,,VERIFIED
ST0038,Double Sarkan,Lahore,Speedo,1,,,VERIFIED
ST0039,Moon Market,Lahore,Speedo,1,,,VERIFIED
ST0040,Ganda Nala,Lahore,Speedo,1,,,VERIFIED
ST0041,Shahdara Metro Station,Lahore,Speedo,1,,,VERIFIED
ST0042,Shahdara Lari Adda,Lahore,Speedo,1,,,VERIFIED
ST0043,R.A. Bazar,Lahore,Speedo,5,,,VERIFIED
ST0044,Nadeem Chowk,Lahore,Speedo,1,,,VERIFIED
ST0045,Defence Morr,Lahore,Speedo,1,,,VERIFIED
ST0046,Shareef Market,Lahore,Speedo,1,,,VERIFIED
ST0047,Walton,Lahore,Speedo,1,,,VERIFIED
ST0048,Shadbagh Underpass,Lahore,Speedo,1,,,VERIFIED
ST0049,Rajput Park,Lahore,Speedo,1,,,VERIFIED
ST0050,Madina Chowk,Lahore,Speedo,1,,,VERIFIED
ST0051,Lohay Wali Pulley,Lahore,Speedo,1,,,VERIFIED
ST0052,Badami Bagh,Lahore,Speedo,1,,,VERIFIED
ST0053,Lari Adda Gol Chakar,Lahore,Speedo,1,,,VERIFIED
ST0054,Babu Sabu,Lahore,Speedo,3,,,VERIFIED
ST0055,Niazi Adda,Lahore,Speedo,2,,,VERIFIED
ST0056,City Bus Stand,Lahore,Speedo,2,,,VERIFIED
ST0057,Chowk Yateem Khana,Lahore,Speedo,3,,,VERIFIED
ST0058,Bhala Stop,Lahore,Speedo,1,,,VERIFIED
ST0059,Chauburji,Lahore,Speedo,2,,,VERIFIED
ST0060,Riwaz Garden,Lahore,Speedo,1,,,VERIFIED
ST0061,M.A.O College,Lahore,Speedo,1,,,VERIFIED
ST0062,Firdous Cinema,Lahore,Speedo,1,,,VERIFIED
ST0063,Raj Garh Chowk,Lahore,Speedo,1,,,VERIFIED
ST0064,Bagrian,Lahore,Speedo,2,,,VERIFIED
ST0065,Depot Chowk,Lahore,Speedo,3,,,VERIFIED
ST0066,Minhaj University,Lahore,Electro|Speedo,2,,,VERIFIED
ST0067,Hamdard Chowk,Lahore,Electro|Speedo,2,,,VERIFIED
ST0068,Rehmat Eye Hospital,Lahore,Speedo,1,,,VERIFIED
ST0069,Pindi Stop,Lahore,Electro|Speedo,3,,,VERIFIED
ST0070,Peco Morr,Lahore,Speedo,2,,,VERIFIED
ST0071,Kot Lakhpat Railway Station,Lahore,Speedo,1,,,VERIFIED
ST0072,Phatak Mandi,Lahore,Speedo,2,,,VERIFIED
ST0073,Doctor Hospital,Lahore,Speedo,1,,,VERIFIED
ST0074,Wafaqi Colony,Lahore,Speedo,1,,,VERIFIED
ST0075,IBA Stop,Lahore,Electro|Speedo,2,,,VERIFIED
ST0076,Hailey College,Lahore,Electro|Speedo,2,,,VERIFIED
ST0077,Campus Pull,Lahore,Speedo,2,,,VERIFIED
ST0078,Barkat Market,Lahore,Speedo,2,,,VERIFIED
ST0079,Qaddafi Stadium,Lahore,Speedo,1,,,VERIFIED
ST0080,Haji Camp,Lahore,Electro|Speedo,3,,,VERIFIED
ST0081,Shimla Pahari,Lahore,Electro|Speedo,5,,,VERIFIED
ST0082,Lahore Zoo,Lahore,Electro|Speedo,3,,,VERIFIED
ST0083,Chairing Cross,Lahore,Speedo,2,,,VERIFIED
ST0084,Ganga Ram Hospital,Lahore,Electro|Speedo,2,,,VERIFIED
ST0085,Sham Nagar,Lahore,Speedo,1,,,VERIFIED
ST0086,Multan Chungi,Lahore,Speedo,2,,,VERIFIED
ST0087,Mustafa Town,Lahore,Speedo,1,,,VERIFIED
ST0088,Karim Block Market,Lahore,Speedo,1,,,VERIFIED
ST0089,PU Examination Center,Lahore,Speedo,1,,,VERIFIED
ST0090,Bhekewal Morr,Lahore,Speedo,2,,,VERIFIED
ST0091,Wahdat Colony,Lahore,Speedo,1,,,VERIFIED
