transfer_id,stop_id,stop_name,routes_available,num_routes,cross_system_transfer,bus_types,verification_status
T0004,ST0005,Bhatti Chowk,M-MAIN|S-1|S-16|S-18|S-19|S-2|S-5,7,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0013,ST0020,Ghazi Chowk,M-MAIN|S-13|S-14|S-24|S-4|S-7,6,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0015,ST0028,Railway Station,S-1|S-16|S-17|S-25|S-3|S-9,6,No,Speedo,VERIFIED (derived from verified route_stops data)
T0022,ST0043,R.A. Bazar,S-12|S-14|S-25|S-26|S-4,5,No,Speedo,VERIFIED (derived from verified route_stops data)
T0040,ST0081,Shimla Pahari,E-1|S-17|S-18|S-32|S-9,5,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0003,ST0004,Azadi Chowk,M-MAIN|S-1|S-3|S-5,4,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0006,ST0010,Qartaba Chowk,M-MAIN|S-10|S-15|S-9,4,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0008,ST0013,Canal,M-MAIN|S-10|S-17|S-8,4,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0009,ST0015,Kalma Chowk,M-MAIN|S-11|S-13|S-8,4,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0014,ST0021,Chungi Amar Sidhu,M-MAIN|S-14|S-4|S-7,4,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0016,ST0029,Ek Moriya,S-1|S-16|S-3|S-32,4,No,Speedo,VERIFIED (derived from verified route_stops data)
T0053,ST0158,Daroghawala,S-26|S-27|S-30|S-31,4,No,Speedo,VERIFIED (derived from verified route_stops data)
T0007,ST0011,Shama,E-1|M-MAIN|S-10,3,Yes,Electro|Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0012,ST0019,Qainchi,M-MAIN|S-4|S-7,3,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0019,ST0032,Lari Adda,S-1|S-3|S-31,3,No,Speedo,VERIFIED (derived from verified route_stops data)
T0023,ST0054,Babu Sabu,S-11|S-15|S-6,3,No,Speedo,VERIFIED (derived from verified route_stops data)
T0026,ST0057,Chowk Yateem Khana,S-11|S-20|S-6,3,No,Speedo,VERIFIED (derived from verified route_stops data)
T0029,ST0065,Depot Chowk,S-21|S-22|S-7,3,No,Speedo,VERIFIED (derived from verified route_stops data)
T0032,ST0069,Pindi Stop,E-1|S-13|S-7,3,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0039,ST0080,Haji Camp,E-1|S-17|S-9,3,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0041,ST0082,Lahore Zoo,E-1|S-12|S-9,3,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0050,ST0142,Thokar Niaz Baig,S-21|S-22|S-23,3,No,Speedo,VERIFIED (derived from verified route_stops data)
T0056,ST0171,Cooper Store,S-31|S-32|S-33,3,No,Speedo,VERIFIED (derived from verified route_stops data)
T0001,ST0002,Niazi Chowk,M-MAIN|S-3,2,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0002,ST0003,Timber Market,M-MAIN|S-3,2,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0005,ST0007,Civil Secretariat,M-MAIN|S-12,2,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0010,ST0016,Model Town,M-MAIN|S-13,2,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0011,ST0018,Ittefaq Hospital,M-MAIN|S-13,2,Yes,Metro|Speedo,VERIFIED (derived from verified route_stops data)
T0017,ST0030,Nawaz Sharif Hospital,S-1|S-3,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0018,ST0031,Kashmiri Gate,S-1|S-3,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0020,ST0033,Texali Chowk,S-1|S-5,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0021,ST0034,Samanabad Morr,S-2|S-6,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0024,ST0055,Niazi Adda,S-11|S-6,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0025,ST0056,City Bus Stand,S-11|S-6,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0027,ST0059,Chauburji,S-6|S-9,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0028,ST0064,Bagrian,S-13|S-7,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0030,ST0066,Minhaj University,E-1|S-7,2,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0031,ST0067,Hamdard Chowk,E-1|S-7,2,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0033,ST0070,Peco Morr,S-13|S-7,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0034,ST0072,Phatak Mandi,S-13|S-7,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0035,ST0075,IBA Stop,E-1|S-8,2,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0036,ST0076,Hailey College,E-1|S-8,2,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0037,ST0077,Campus Pull,S-11|S-8,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0038,ST0078,Barkat Market,S-11|S-8,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0042,ST0083,Chairing Cross,S-12|S-9,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0043,ST0084,Ganga Ram Hospital,E-1|S-9,2,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0044,ST0086,Multan Chungi,S-10|S-24,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0045,ST0090,Bhekewal Morr,S-10|S-11,2,No,Speedo,VERIFIED (derived from verified route_stops data)
